,City,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed
480,Panzhihua,26.59,101.72,81.23,61,100,1.7
481,Jiangkou,30.7,117.56,84.83,57,53,3.53
482,Puerto Ayacucho,5.66,-67.63,72.05,92,10,3.2
483,Warrnambool,-38.38,142.48,55.99,51,99,18.99
484,Chicama,-7.84,-79.15,62.6,82,20,5.82
485,Biak,-0.91,122.88,66.11,90,100,4.9
486,Tambilil,5.96,124.67,82.4,78,40,2.24
487,Orgovany,46.75,19.47,66.99,67,0,6.93
488,Mazatlan,23.22,-106.42,84.99,79,75,1.43
489,Copiapo,-27.37,-70.33,50.0,87,85,2.24
490,Hualmay,-11.1,-77.61,61.97,89,1,13.98
491,Los Llanos de Aridane,28.66,-17.92,69.8,68,75,3.36
492,Salamiyah,35.01,37.05,88.25,26,0,13.24
493,Glendive,47.11,-104.71,66.2,68,1,8.05
494,Oktyabrskiy,55.61,37.97,59.0,93,75,2.24
495,Camopi,3.17,-52.33,70.07,99,91,1.88
496,La Romana,18.43,-68.97,82.4,78,20,8.05
497,Biu,10.61,12.19,70.61,93,100,11.61
498,Kamaishi,39.28,141.86,69.8,68,75,13.87
499,Yeniseysk,58.45,92.17,70.79,52,27,9.73
500,Nelson Bay,-32.72,152.14,68.0,37,0,24.16
501,Sooke,48.37,-123.73,64.0,100,90,4.7
502,Toucheng,24.86,121.82,91.0,84,75,6.93
503,Darhan,49.49,105.92,78.53,48,61,5.1
504,Grass Valley,39.22,-121.06,78.8,49,1,5.26
505,Pitimbu,-7.47,-34.81,73.4,100,40,3.36
506,Nome,30.04,-94.42,84.0,100,1,3.2
507,Mapimi,25.82,-103.85,79.97,46,52,7.27
508,Ngunguru,-35.62,174.5,59.63,79,1,11.7
509,Plonsk,52.62,20.38,61.0,93,40,5.82
510,Gouyave,12.16,-61.73,80.6,83,20,8.05
511,Middletown,39.52,-84.4,78.01,78,1,4.7
512,Paamiut,61.99,-49.67,41.99,90,100,5.14
513,Avera,33.19,-82.53,78.8,100,1,4.7
514,Rabaul,-4.2,152.17,84.11,68,100,11.36
515,Maragogi,-9.01,-35.22,70.43,94,1,2.53
516,Yulara,-25.24,130.99,71.6,14,75,5.82
517,Caravelas,-17.73,-39.27,69.89,82,99,7.87
518,Katobu,-4.94,122.53,83.39,63,26,8.37
519,Eucaliptus,-17.6,-67.51,38.75,47,0,0.81
520,Kodar,16.98,79.97,90.95,48,100,17.11
521,Bella Union,8.5,-73.35,67.73,92,99,4.47
522,Garmsar,35.22,52.34,85.01,23,38,6.98
523,Thinadhoo,0.53,72.93,84.65,72,100,8.79
524,Ucluelet,48.94,-125.55,60.01,98,15,8.19
525,Dalbandin,28.9,64.41,94.55,29,0,10.42
526,Dawson Creek,55.76,-120.23,57.2,82,20,2.24
527,Capari,41.06,21.18,55.4,62,0,11.41
528,Abu Dhabi,24.47,54.37,96.8,24,0,4.7
529,Santa Marta,11.24,-74.21,80.6,78,75,33.02
530,Pochutla,15.74,-96.47,77.0,78,20,5.82
531,Zhangye,38.94,100.46,77.09,21,100,8.01
532,Ilhabela,-23.78,-45.36,68.99,68,100,7.74
533,Mehamn,71.03,27.85,51.8,66,0,4.7
534,Katsuura,33.93,134.5,82.4,88,75,18.34
535,Stolin,51.89,26.85,54.23,93,98,9.35
536,Atbasar,51.81,68.36,80.15,37,55,13.98
537,Sinnamary,5.38,-52.96,77.99,86,83,10.96
538,Pankrushikha,53.83,80.35,71.33,45,3,7.94
539,Old Shinyanga,-3.56,33.41,70.79,56,0,9.46
540,San Policarpo,12.18,125.51,85.01,69,36,5.53
541,Nouadhibou,20.93,-17.03,66.2,88,1,18.34
542,Sioux Lookout,50.1,-91.92,57.2,100,75,2.24
543,Qandala,11.47,49.87,90.77,50,34,25.88
544,Boundiali,9.53,-6.48,68.99,97,15,5.06
545,Zeerust,-25.54,26.07,42.8,60,0,3.36
546,Gazojak,41.19,61.4,103.91,7,21,11.3
547,Atar,20.52,-13.05,82.31,22,22,8.48
548,Stykkisholmur,65.08,-22.73,49.91,86,100,0.85
549,Sindor,62.87,51.9,48.65,94,100,6.42
550,Tessalit,20.2,1.01,86.81,28,15,6.46
551,Zhezkazgan,47.8,67.71,87.8,22,48,13.42
